base64_url,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0185,GREYHOUND-us,Greyhound US0185,St. Louis - Paducah - Nashville,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0430,GREYHOUND-us,Greyhound US0430,Washington - Harrisburg - Pittsburgh,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0652s,GREYHOUND-us,Greyhound US0652s,Raleigh - Jacksonville,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1128,GREYHOUND-us,Greyhound US1128,Houston - Corpus Christi - Monterrey,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2434,FLIXBUS-us,FlixBus 2434,Atlanta - Jacksonville - Orlando,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2211,FLIXBUS-us,FlixBus 2211,Austin - Houston - New Orleans,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2693,FLIXBUS-us,FlixBus 2693,Boston - Albany,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1152,GREYHOUND-us,Greyhound US1152,Texarkana - Houston,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0255s,GREYHOUND-us,Greyhound US0255s,New York - Springfield - White River JCT,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2552,FLIXBUS-us,FlixBus 2552,Chicago - Grand Rapids - Detroit,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0265s,GREYHOUND-us,Greyhound US0265s,Boston - Portland - Bangor,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0154S,GREYHOUND-us,Greyhound US0154S,Chicago - Iowa City - Cedar Rapids - Waterloo - Des Moines (Subsidy),,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2683,FLIXBUS-us,FlixBus 2683,NYC - Ithaca,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2725,FLIXBUS-us,FlixBus 2725,Edmonton - Jasper,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2411,FLIXBUS-us,FlixBus 2411,Miami - Orlando,,3,,73D700,FFFFFF,,,,
